Vd	Ids
V	\g(m)A
Vd	Ids
1	7.44635277777778E-7
0.980000019	7.28388055555555E-7
0.959999979	7.14785E-7
0.939999998	6.97585E-7
0.920000017	6.81159722222222E-7
0.899999976	6.69218611111111E-7
0.879999995	6.51148055555555E-7
0.860000014	6.394125E-7
0.840000033	6.20438611111111E-7
0.819999993	6.083025E-7
0.800000012	5.90792777777778E-7
0.779999971	5.74801388888889E-7
0.75999999	5.56843888888889E-7
0.74000001	5.42466944444444E-7
0.720000029	5.28546111111111E-7
0.700000048	5.12541944444444E-7
0.680000007	4.97906388888889E-7
0.659999967	4.82954166666667E-7
0.639999986	4.64278888888889E-7
0.620000005	4.51633611111111E-7
0.600000024	4.36032222222222E-7
0.580000043	4.19478333333333E-7
0.560000002	4.03713055555555E-7
0.540000021	3.89124444444444E-7
0.519999981	3.72062222222222E-7
0.5	3.61466944444444E-7
0.480000019	3.454225E-7
0.460000038	3.30819722222222E-7
0.439999998	3.15893611111111E-7
0.420000017	2.99458888888889E-7
0.400000036	2.85319722222222E-7
0.379999995	2.70532777777778E-7
0.360000014	2.54175833333333E-7
0.340000033	2.42123888888889E-7
0.319999993	2.26025833333333E-7
0.300000012	2.12871111111111E-7
0.280000031	1.98044722222222E-7
0.25999999	1.8411E-7
0.24000001	1.68545555555556E-7
0.220000029	1.54080833333333E-7
0.200000048	1.40986388888889E-7
0.180000007	1.27718888888889E-7
0.160000026	1.12921666666667E-7
0.140000045	9.87869444444444E-8
0.120000005	8.36794444444444E-8
0.100000024	7.01891666666667E-8
0.080000043	5.57222222222222E-8
0.060000002	4.17372222222222E-8
0.040000021	2.81113888888889E-8
0.020000041	1.40955555555556E-8
0	1.00833333333333E-10
-0.019999981	-1.391E-8
-0.039999962	-2.78416666666667E-8
-0.059999943	-4.19477777777778E-8
-0.079999924	-5.60161111111111E-8
-0.100000024	-7.05988888888889E-8
-0.120000005	-8.454E-8
-0.139999986	-9.88327777777778E-8
-0.159999967	-1.12622222222222E-7
-0.179999948	-1.276175E-7
-0.199999928	-1.41918888888889E-7
-0.220000029	-1.55766388888889E-7
-0.24000001	-1.70077777777778E-7
-0.25999999	-1.85108888888889E-7
-0.279999971	-1.99816944444444E-7
-0.299999952	-2.1543E-7
-0.319999933	-2.301975E-7
-0.339999914	-2.45605833333333E-7
-0.360000014	-2.59895555555556E-7
-0.379999995	-2.76818888888889E-7
-0.399999976	-2.89614444444444E-7
-0.419999957	-3.04953055555556E-7
-0.439999938	-3.22578888888889E-7
-0.459999919	-3.38745555555556E-7
-0.480000019	-3.52496388888889E-7
-0.5	-3.68644444444444E-7
-0.519999981	-3.85014444444444E-7
-0.539999962	-4.01380833333333E-7
-0.559999943	-4.171575E-7
-0.579999924	-4.34239722222222E-7
-0.599999905	-4.48305E-7
-0.620000005	-4.65644166666667E-7
-0.639999986	-4.81463333333333E-7
-0.659999967	-4.97350833333333E-7
-0.679999948	-5.13457222222222E-7
-0.699999928	-5.33770833333333E-7
-0.719999909	-5.47936666666667E-7
-0.74000001	-5.63336388888889E-7
-0.75999999	-5.81469166666667E-7
-0.779999971	-5.99576666666667E-7
-0.799999952	-6.15658611111111E-7
-0.819999933	-6.34449722222222E-7
-0.839999914	-6.50704722222222E-7
-0.860000014	-6.64504722222222E-7
-0.879999995	-6.80919166666667E-7
-0.899999976	-6.99478611111111E-7
-0.919999957	-7.18548888888889E-7
-0.939999938	-7.33996944444444E-7
-0.959999919	-7.53830277777778E-7
-0.9799999	-7.720525E-7
-1	-7.87122777777778E-7
