Vbg	-Seebeck	d ln(G)/d Vbg	-Seebeck
V	\g(m)V/K	1/V	mV/K
Vbg	M1	M1	M5
60	1.70089842897665E-4	0.0171372919415254	1.60390892064877E-4
59	1.72216569727798E-4	0.0162089019258708	1.6095761509928E-4
58	1.7207330589952E-4	0.0161608665537198	1.61451532838752E-4
57	1.70232832274165E-4	0.0186160825031586	1.6211670848789E-4
56	1.72645812309077E-4	0.0176761378876404	1.632758018765E-4
55	1.74690752509273E-4	0.016830966734173	1.64311622663466E-4
54	1.75488034925267E-4	0.0186214961955589	1.65322623463525E-4
53	1.75774562581824E-4	0.0181759981713636	1.65962979125755E-4
52	1.77144351407375E-4	0.0177766395341949	1.66382436904502E-4
51	1.78248745363299E-4	0.0210943278946019	1.6739343770456E-4
50	1.78371425308204E-4	0.0208632822922494	1.68281165902975E-4
49	1.80579664316496E-4	0.0175919673077204	1.68897528911194E-4
48	1.81070658547894E-4	0.0195801652062115	1.69637164521056E-4
47	1.80784130891338E-4	0.0213137361236271	1.70426440104735E-4
46	1.82338351311914E-4	0.0205799656774045	1.71535893519529E-4
45	1.83197110926249E-4	0.0201948989675649	1.72152256527748E-4
44	1.83749307904211E-4	0.0213942153876164	1.72940704778529E-4
43	1.85160264496509E-4	0.0224418603339475	1.73754800349116E-4
42	1.86775687663648E-4	0.0233476734258864	1.74814613790094E-4
41	1.89065713301877E-4	0.0235273331983484	1.756775220016E-4
40	1.88166060372573E-4	0.0240639682723942	1.76664530147647E-4
39	1.89004510555313E-4	0.0235455065344703	1.77527438359153E-4
38	1.90476669894174E-4	0.0234200652726346	1.77970888791912E-4
37	1.91724053226598E-4	0.0252419556591706	1.78932249618154E-4
36	1.92439823464434E-4	0.0255370351762285	1.79302067423085E-4
35	1.9227625020456E-4	0.0249613519524017	1.80289075569132E-4
34	1.9452538252782E-4	0.0258473736000993	1.81620254200305E-4
33	1.95936339120118E-4	0.0283307065515663	1.8349416321187E-4
32	1.98022172635283E-4	0.0290968570455289	1.84159338861008E-4
31	1.9624317620827E-4	0.0289347220146715	1.85047067059423E-4
30	1.96652109357953E-4	0.0286390051129626	1.8563943741363E-4
29	1.98799145619681E-4	0.0289196424084988	1.86329433049676E-4
28	2.00864395251473E-4	0.0300626345354815	1.87414066477562E-4
27	2.03175004773074E-4	0.0316768362834437	1.88276974689068E-4
26	2.04217921530657E-4	0.0326676050521398	1.8899261764492E-4
25	2.05894821896138E-4	0.0330551314625427	1.90447068877737E-4
24	2.07878284897993E-4	0.0344775812977879	1.91654974907266E-4
23	2.08246324732708E-4	0.036390137284957	1.92197705287657E-4
22	2.0943223086679E-4	0.0370011567147059	1.93258346061532E-4
21	2.1413523653993E-4	0.0365589252534648	1.94244526874682E-4
20	2.14953377291076E-4	0.0373133118034604	1.95550885518947E-4
19	2.16527907143247E-4	0.0385953483736593	1.96413793730453E-4
18	2.1634375E-4	0.0393757243930337	1.97548067132155E-4
17	2.19226865931159E-4	0.0412873995639555	1.98139610153466E-4
16	2.2174221647938E-4	0.0427855379240327	1.99619708706088E-4
15	2.2399134880264E-4	0.0449879983865942	2.01246245181468E-4
14	2.2360299953633E-4	0.0465897596320275	2.013455251291E-4
