Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300K	T=260K	T=220K	T=180K	T=140K	T=100K
60	1.70089842897665E-4	1.31858754500327E-4	1.00902655193105E-4	7.3956064531966E-5	4.90337319986908E-5	3.08636025801877E-5
59	1.72216569727798E-4	1.31957309963452E-4	1.01299891753491E-4	7.41576648756273E-5	4.91436736308095E-5	3.08636025801877E-5
58	1.7207330589952E-4	1.32705327432904E-4	1.01838762819114E-4	7.45337885937159E-5	4.93720502400175E-5	3.10698207028693E-5
57	1.70232832274165E-4	1.33807668966834E-4	1.02387279245309E-4	7.49739124209033E-5	4.95787216343007E-5	3.12087299530875E-5
56	1.72645812309077E-4	1.34496764537421E-4	1.03020827139701E-4	7.54509593879555E-5	4.98290393846825E-5	3.12087299530875E-5
55	1.74690752509273E-4	1.35500814831988E-4	1.03663766569387E-4	7.5900437077242E-5	5.02202051058259E-5	3.14610252904757E-5
54	1.75488034925267E-4	1.36051985598953E-4	1.04108214631519E-4	7.64230225834606E-5	5.04268765001091E-5	3.17345522856208E-5
53	1.75774562581824E-4	1.36819819850535E-4	1.04808010923522E-4	7.68722541184813E-5	5.07651947414358E-5	3.2024793564532E-5
52	1.77144351407375E-4	1.37410359957997E-4	1.05413130386755E-4	7.7211700850971E-5	5.0984842079424E-5	3.21384055204015E-5
51	1.78248745363299E-4	1.38355224129937E-4	1.05933218381791E-4	7.75784707069605E-5	5.12792780384028E-5	3.23866352211979E-5
50	1.78371425308204E-4	1.39142610939887E-4	1.06481480982708E-4	7.81010562131791E-5	5.15343143137683E-5	3.27904884559786E-5
49	1.80579664316496E-4	1.39713598488981E-4	1.07039388944196E-4	7.84405029456688E-5	5.1850691413921E-5	3.2841083044676E-5
48	1.81070658547894E-4	1.40579723979926E-4	1.07701365269747E-4	7.89355191741218E-5	5.22812568186777E-5	3.31143841711215E-5
47	1.80784130891338E-4	1.41426296912503E-4	1.08287701662394E-4	7.93116428922104E-5	5.25889046476107E-5	3.34172740972071E-5
46	1.82338351311914E-4	1.41977467679468E-4	1.0899688948969E-4	7.97975514128301E-5	5.29052817477635E-5	3.34721601911957E-5
45	1.83197110926249E-4	1.42843593170412E-4	1.09497940588861E-4	8.01918905465852E-5	5.31909884355226E-5	3.37497528229326E-5
44	1.83749307904211E-4	1.43532688740999E-4	1.10103060052095E-4	8.0613798958106E-5	5.35776715579315E-5	3.39180250040912E-5
43	1.85160264496509E-4	1.44379261673576E-4	1.10755644842352E-4	8.12373077132882E-5	5.38150133646083E-5	3.40736485380755E-5
42	1.86775687663648E-4	1.45245387164521E-4	1.11360764305586E-4	8.17690009273402E-5	5.41094493235872E-5	3.42419207192341E-5
41	1.89065713301877E-4	1.45993404633973E-4	1.12003703735272E-4	8.21726939231944E-5	5.45225561859044E-5	3.46880114008292E-5
40	1.88166060372573E-4	1.47056641051167E-4	1.12656034700251E-4	8.25943561804495E-5	5.48783329696705E-5	3.49531812540912E-5
39	1.89004510555313E-4	1.47548625695505E-4	1.13412687854571E-4	8.31629725343662E-5	5.52256164084661E-5	3.50918646356099E-5
38	1.90476669894174E-4	1.4859204533057E-4	1.14074410354844E-4	8.36215579314859E-5	5.56870881518656E-5	3.54074032088698E-5
37	1.91724053226598E-4	1.49655017524002E-4	1.14717603609808E-4	8.41350357298713E-5	5.59945000545494E-5	3.56599244149574E-5
36	1.92439823464434E-4	1.50521407238708E-4	1.15426791437105E-4	8.47034059295222E-5	5.6491124809077E-5	3.5971171482926E-5
35	1.9227625020456E-4	1.51545010091643E-4	1.16296650665503E-4	8.5088637355444E-5	5.69438672812568E-5	3.6333013139592E-5
