Temperature	-Seebeck	Independent Variable	Linear Fit of High Temperature	Independent Variable	Linear Fit of Low Temperature
K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K
Temperature	-Seebeck	Temperature	Fit Curve of High Temperature	Temperature	Fit Curve of  Low Temperature
110	5.8431201416623E-5	50	-8.99843921140701E-5	50	9.20882973886651E-6
120	6.25320840226145E-5	50.6006006006006	-8.9271070522923E-5	50.6006006006006	9.69763977417547E-6
130	6.78396898074416E-5	51.2012012012012	-8.85577489317758E-5	51.2012012012012	1.01859880529748E-5
140	7.56838337635597E-5	51.8018018018018	-8.78444273406286E-5	51.8018018018018	1.06738745752646E-5
150	8.2337093649656E-5	52.4024024024024	-8.71311057494814E-5	52.4024024024024	1.11612993410448E-5
160	9.04722990768109E-5	53.003003003003	-8.64177841583343E-5	53.003003003003	1.16482623503153E-5
170	1.02193221671208E-4	53.6036036036036	-8.57044625671871E-5	53.6036036036036	1.21347636030763E-5
180	1.07025499355742E-4	54.2042042042042	-8.49911409760399E-5	54.2042042042042	1.26208030993276E-5
190	1.10244136861194E-4	54.8048048048048	-8.42778193848927E-5	54.8048048048048	1.31063808390694E-5
200	1.14449508216706E-4	55.4054054054054	-8.35644977937456E-5	55.4054054054054	1.35914968223015E-5
210	1.26371666381783E-4	56.006006006006	-8.28511762025984E-5	56.006006006006	1.40761510490241E-5
220	1.36663232632462E-4	56.6066066066066	-8.21378546114512E-5	56.6066066066066	1.45603435192371E-5
230	1.47059209255352E-4	57.2072072072072	-8.1424533020304E-5	57.2072072072072	1.50440742329404E-5
240	1.57001196897752E-4	57.8078078078078	-8.07112114291569E-5	57.8078078078078	1.55273431901341E-5
250	1.63553608071157E-4	58.4084084084084	-7.99978898380097E-5	58.4084084084084	1.60101503908183E-5
260	1.7125696814167E-4	59.009009009009	-7.92845682468625E-5	59.009009009009	1.64924958349928E-5
270	1.81312038323707E-4	59.6096096096096	-7.85712466557153E-5	59.6096096096096	1.69743795226578E-5
280	1.91093013894941E-4	60.2102102102102	-7.78579250645682E-5	60.2102102102102	1.74558014538131E-5
290	1.9917800233942E-4	60.8108108108108	-7.7144603473421E-5	60.8108108108108	1.79367616284589E-5
300	2.07094176357052E-4	61.4114114114114	-7.64312818822738E-5	61.4114114114114	1.8417260046595E-5
310	2.15321998701016E-4	62.012012012012	-7.57179602911266E-5	62.012012012012	1.88972967082215E-5
320	2.23276860143206E-4	62.6126126126126	-7.50046386999794E-5	62.6126126126126	1.93768716133385E-5
330	2.40684811931204E-4	63.2132132132132	-7.42913171088323E-5	63.2132132132132	1.98559847619458E-5
340	2.58904780285078E-4	63.8138138138138	-7.35779955176851E-5	63.8138138138138	2.03346361540435E-5
350	2.82337245415038E-4	64.4144144144144	-7.28646739265379E-5	64.4144144144144	2.08128257896316E-5
360	2.91597460481699E-4	65.015015015015	-7.21513523353907E-5	65.015015015015	2.12905536687102E-5
370	2.960987245616E-4	65.6156156156156	-7.14380307442436E-5	65.6156156156156	2.17678197912791E-5
380	2.94403520724049E-4	66.2162162162162	-7.07247091530964E-5	66.2162162162162	2.22446241573384E-5
390	3.06326290036378E-4	66.8168168168168	-7.00113875619492E-5	66.8168168168168	2.27209667668881E-5
400	3.20818986623977E-4	67.4174174174174	-6.9298065970802E-5	67.4174174174174	2.31968476199283E-5
410	3.34805244848418E-4	68.018018018018	-6.85847443796549E-5	68.018018018018	2.36722667164588E-5
420	3.50992957172816E-4	68.6186186186186	-6.78714227885077E-5	68.6186186186186	2.41472240564797E-5
430	3.61405841947955E-4	69.2192192192192	-6.71581011973605E-5	69.2192192192192	2.4621719639991E-5
440	3.77528189278486E-4	69.8198198198198	-6.64447796062133E-5	69.8198198198198	2.50957534669927E-5
450	3.81234671212355E-4	70.4204204204204	-6.57314580150662E-5	70.4204204204204	2.55693255374848E-5
460	3.95456977058327E-4	71.021021021021	-6.5018136423919E-5	71.021021021021	2.60424358514673E-5
470	4.20545438555609E-4	71.6216216216216	-6.43048148327718E-5	71.6216216216216	2.65150844089402E-5
480	4.3238964930596E-4	72.2222222222222	-6.35914932416246E-5	72.2222222222222	2.69872712099035E-5
490	4.30382045667471E-4	72.8228228228228	-6.28781716504775E-5	72.8228228228228	2.74589962543572E-5
500	4.26469293184449E-4	73.4234234234234	-6.21648500593303E-5	73.4234234234234	2.79302595423014E-5
510	4.45760600518698E-4	74.024024024024	-6.14515284681831E-5	74.024024024024	2.84010610737358E-5
520	4.5215508880048E-4	74.6246246246246	-6.07382068770359E-5	74.6246246246246	2.88714008486608E-5
