T^(1/3)	-Seebeck	-Seebeck	-Seebeck	-Seebeck	Independent Variable	Linear Fit of Vg=60 V	Independent Variable	Linear Fit of Vg=40 V	Independent Variable	Linear Fit of Vg=20 V	Independent Variable	Linear Fit of Vg=0 V
K^(1/3)	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	K^(-1/3)							
T^(1/3)	Vg=60 V	Vg=40 V	Vg=20 V	Vg=0 V	Fit Curve of Vg=60 V	Fit Curve of Vg=60 V	Fit Curve of Vg=40 V	Fit Curve of Vg=40 V	Fit Curve of Vg=20 V	Fit Curve of Vg=20 V	Fit Curve of Vg=0 V	Fit Curve of Vg=0 V
4.30886938006377	1.69499E-5	1.93502E-5	2.33519E-5	1.92401E-5	4.48140474655716	1.24828222386304E-5	4.48140474655716	1.3988585092066E-5	4.48140474655716	1.70901233581659E-5	4.48140474655716	1.49832062075539E-5
4.48140474655716	1.51167683395156E-5	1.67924738817369E-5	1.90612162448178E-5	1.81763208051495E-5	4.4825707239613	1.2522746903287E-5	4.4825707239613	1.40318465585301E-5	4.4825707239613	1.71371136327836E-5	4.4825707239613	1.50415276590992E-5
4.64158883361278	1.84520871045167E-5	2.08011346279729E-5	2.47840872790748E-5	2.16190879336679E-5	4.48373670136543	1.25626715679437E-5	4.48373670136543	1.40751080249942E-5	4.48373670136543	1.71841039074013E-5	4.48373670136543	1.50998491106445E-5
4.79141985706278	2.20497696923413E-5	2.45438018765001E-5	2.89667943486799E-5	2.82826839406502E-5	4.48490267876956	1.26025962326003E-5	4.48490267876956	1.41183694914583E-5	4.48490267876956	1.7231094182019E-5	4.48490267876956	1.51581705621898E-5
4.93242414866094	2.65330798603535E-5	2.89200589133755E-5	3.41368219506873E-5	3.67373892646738E-5	4.4860686561737	1.26425208972569E-5	4.4860686561737	1.41616309579225E-5	4.4860686561737	1.72780844566367E-5	4.4860686561737	1.52164920137351E-5
5.06579701910089	3.13685886973598E-5	3.41993833733363E-5	3.92860397119791E-5	4.47675295657866E-5	4.48723463357783	1.26824455619135E-5	4.48723463357783	1.42048924243866E-5	4.48723463357783	1.73250747312545E-5	4.48723463357783	1.52748134652804E-5
5.1924941018511	3.52003046039712E-5	3.85517379445778E-5	4.34747569277766E-5	4.99294006109535E-5	4.48840061098196	1.27223702265702E-5	4.48840061098196	1.42481538908507E-5	4.48840061098196	1.73720650058722E-5	4.48840061098196	1.53331349168257E-5
5.31329284591305	3.98854549421776E-5	4.35626515382937E-5	4.92112275801877E-5	5.68352293257692E-5	4.4895665883861	1.27622948912268E-5	4.4895665883861	1.42914153573149E-5	4.4895665883861	1.74190552804899E-5	4.4895665883861	1.5391456368371E-5
5.42883523318981	4.53613670085097E-5	4.94329009382501E-5	5.54937780929522E-5	6.26877383809732E-5	4.49073256579023	1.28022195558834E-5	4.49073256579023	1.4334676823779E-5	4.49073256579023	1.74660455551076E-5	4.49073256579023	1.54497778199163E-5
5.53965825675446	4.86643574078115E-5	5.32940593497709E-5	6.00405930613136E-5	6.7328914248309E-5	4.49189854319436	1.284214422054E-5	4.49189854319436	1.43779382902431E-5	4.49189854319436	1.75130358297253E-5	4.49189854319436	1.55080992714616E-5
5.64621617328617	5.51463975561859E-5	6.05354161029893E-5	6.70823820641501E-5	7.45423997381628E-5	4.4930645205985	1.28820688851966E-5	4.4930645205985	1.44211997567072E-5	4.4930645205985	1.7560026104343E-5	4.4930645205985	1.5566420723007E-5
5.74889707894483	6.324227547458E-5	6.87589430504037E-5	7.66060825878246E-5	8.67260223652629E-5	4.49423049800263	1.29219935498532E-5	4.49423049800263	1.44644612231713E-5	4.49423049800263	1.76070163789607E-5	4.49423049800263	1.56247421745523E-5
5.84803547642573	6.67281483744272E-5	7.27417887846389E-5	8.11195339297404E-5	9.15161084442505E-5	4.49539647540676	1.29619182145099E-5	4.49539647540676	1.45077226896355E-5	4.49539647540676	1.76540066535784E-5	4.49539647540676	1.56830636260976E-5
5.94392195276313	7.22318697359808E-5	7.89507272528911E-5	8.76456650665503E-5	9.94421817586734E-5	4.49656245281089	1.30018428791665E-5	4.49656245281089	1.45509841560996E-5	4.49656245281089	1.77009969281961E-5	4.49656245281089	1.57413850776429E-5
6.03681073679768	8.08963271874318E-5	8.81857626009164E-5	9.76928791184813E-5	1.09494975998254E-4	4.49772843021503	1.30417675438231E-5	4.49772843021503	1.45942456225637E-5	4.49772843021503	1.77479872028138E-5	4.49772843021503	1.57997065291882E-5
6.12692567522842	8.64752569277766E-5	9.35752514728344E-5	1.04010651320096E-4	1.1733427449269E-4	4.49889440761916	1.30816922084797E-5	4.49889440761916	1.46375070890278E-5	4.49889440761916	1.77949774774316E-5	4.49889440761916	1.58580279807335E-5
6.21446501190772	9.53395819332315E-5	1.03664377481999E-4	1.14792653720271E-4	1.29773869081388E-4	4.50006038502329	1.31216168731363E-5	4.50006038502329	1.46807685554919E-5	4.50006038502329	1.78419677520493E-5	4.50006038502329	1.59163494322788E-5
6.29960524947436	1.00848191686668E-4	1.10080820096007E-4	1.21790393083133E-4	1.38384573314423E-4	4.50122636242743	1.31615415377929E-5	4.50122636242743	1.47240300219561E-5	4.50122636242743	1.7888958026667E-5	4.50122636242743	1.59746708838241E-5
6.38250429885991	1.08306850861881E-4	1.18097414466507E-4	1.31727327514728E-4	1.49232193759546E-4	4.50239233983156	1.32014662024496E-5	4.50239233983156	1.47672914884202E-5	4.50239233983156	1.79359483012847E-5	4.50239233983156	1.60329923353694E-5
6.46330407009565	1.17857244599607E-4	1.27963432904211E-4	1.44584162775475E-4	1.60465248308968E-4	4.50355831723569	1.32413908671062E-5	4.50355831723569	1.48105529548843E-5	4.50355831723569	1.79829385759024E-5	4.50355831723569	1.60913137869147E-5
6.54213262037718	1.26017677067423E-4	1.37052135718961E-4	1.52067232162339E-4	1.71471022910757E-4	4.50472429463983	1.32813155317628E-5	4.50472429463983	1.48538144213484E-5	4.50472429463983	1.80299288505201E-5	4.50472429463983	1.614963523846E-5
6.61910594802623	1.34655171394283E-4	1.46064826860135E-4	1.62551834387955E-4	1.83917790312023E-4	4.50589027204396	1.33212401964194E-5	4.50589027204396	1.48970758878125E-5	4.50589027204396	1.80769191251378E-5	4.50589027204396	1.62079566900053E-5
6.69432950082169	1.4236649901811E-4	1.54475549858171E-4	1.70318135500764E-4	1.93411505564041E-4	4.50705624944809	1.3361164861076E-5	4.50705624944809	1.49403373542767E-5	4.50705624944809	1.81239093997555E-5	4.50705624944809	1.62662781415506E-5
					4.50822222685223	1.34010895257327E-5	4.50822222685223	1.49835988207408E-5	4.50822222685223	1.81708996743732E-5	4.50822222685223	1.63245995930959E-5
					4.50938820425636	1.34410141903893E-5	4.50938820425636	1.50268602872049E-5	4.50938820425636	1.8217889948991E-5	4.50938820425636	1.63829210446413E-5
					4.51055418166049	1.34809388550459E-5	4.51055418166049	1.50701217536691E-5	4.51055418166049	1.82648802236087E-5	4.51055418166049	1.64412424961866E-5
					4.51172015906463	1.35208635197025E-5	4.51172015906463	1.51133832201332E-5	4.51172015906463	1.83118704982264E-5	4.51172015906463	1.64995639477319E-5
					4.51288613646876	1.35607881843591E-5	4.51288613646876	1.51566446865973E-5	4.51288613646876	1.83588607728441E-5	4.51288613646876	1.65578853992772E-5
					4.51405211387289	1.36007128490157E-5	4.51405211387289	1.51999061530614E-5	4.51405211387289	1.84058510474618E-5	4.51405211387289	1.66162068508225E-5
					4.51521809127703	1.36406375136724E-5	4.51521809127703	1.52431676195255E-5	4.51521809127703	1.84528413220795E-5	4.51521809127703	1.66745283023678E-5
					4.51638406868116	1.3680562178329E-5	4.51638406868116	1.52864290859896E-5	4.51638406868116	1.84998315966972E-5	4.51638406868116	1.67328497539131E-5
					4.51755004608529	1.37204868429856E-5	4.51755004608529	1.53296905524537E-5	4.51755004608529	1.85468218713149E-5	4.51755004608529	1.67911712054584E-5
					4.51871602348942	1.37604115076422E-5	4.51871602348942	1.53729520189179E-5	4.51871602348942	1.85938121459327E-5	4.51871602348942	1.68494926570037E-5
