ln (n2d)	T0^(1/3)	-Seebeck	Independent Variable	Linear Fit of T0^(1/3)	Independent Variable	Linear Fit of -Seebeck
	K^(1/3)	\g(m)V/K		K^(1/3)		\g(m)V/K
ln (n2d)	T0^(1/3)	-Seebeck	ln (n2d)	Fit Curve of T0^(1/3)	ln (n2d)	Fit Curve of -Seebeck
28.449089657751	44.1397074508412	74.5424	28.3	47.3692086843809	28.3	78.1413862271199
28.7247955391561	35.2973309165969	70.735	28.3013013013013	47.3352141263343	28.3013013013013	78.1174178398694
28.9406839195891	30.3745632095793	67.0824	28.3026026026026	47.3012195682877	28.3026026026026	78.0934494526186
29.1181392867319	26.1690172382745	63.3807	28.3039039039039	47.2672250102413	28.3039039039039	78.069481065368
29.2687995616194	22.6200985485414	60.5354	28.3052052052052	47.2332304521948	28.3052052052052	78.0455126781175
29.3997051321662	18.6663832156505	57.6411	28.3065065065065	47.1992358941482	28.3065065065065	78.0215442908667
29.5154410842009	15.4276895439494	55.1464	28.3078078078078	47.1652413361016	28.3078078078078	77.9975759036162
			28.3091091091091	47.1312467780552	28.3091091091091	77.9736075163655
			28.3104104104104	47.0972522200086	28.3104104104104	77.9496391291149
			28.3117117117117	47.0632576619621	28.3117117117117	77.9256707418642
			28.313013013013	47.0292631039156	28.313013013013	77.9017023546136
			28.3143143143143	46.9952685458691	28.3143143143143	77.8777339673629
			28.3156156156156	46.9612739878226	28.3156156156156	77.8537655801123
			28.3169169169169	46.927279429776	28.3169169169169	77.8297971928616
			28.3182182182182	46.8932848717295	28.3182182182182	77.805828805611
			28.3195195195195	46.859290313683	28.3195195195195	77.7818604183603
			28.3208208208208	46.8252957556365	28.3208208208208	77.7578920311098
			28.3221221221221	46.7913011975899	28.3221221221221	77.733923643859
			28.3234234234234	46.7573066395435	28.3234234234234	77.7099552566084
			28.3247247247247	46.7233120814969	28.3247247247247	77.6859868693579
			28.326026026026	46.6893175234503	28.326026026026	77.6620184821071
			28.3273273273273	46.6553229654039	28.3273273273273	77.6380500948566
			28.3286286286286	46.6213284073574	28.3286286286286	77.6140817076059
			28.3299299299299	46.5873338493108	28.3299299299299	77.5901133203553
			28.3312312312312	46.5533392912643	28.3312312312312	77.5661449331046
			28.3325325325325	46.5193447332178	28.3325325325325	77.542176545854
			28.3338338338338	46.4853501751712	28.3338338338338	77.5182081586033
			28.3351351351351	46.4513556171247	28.3351351351351	77.4942397713527
			28.3364364364364	46.4173610590782	28.3364364364364	77.470271384102
			28.3377377377377	46.3833665010317	28.3377377377377	77.4463029968514
			28.339039039039	46.3493719429852	28.339039039039	77.4223346096007
			28.3403403403403	46.3153773849386	28.3403403403403	77.3983662223501
			28.3416416416416	46.2813828268921	28.3416416416416	77.3743978350994
			28.3429429429429	46.2473882688456	28.3429429429429	77.3504294478488
			28.3442442442442	46.2133937107991	28.3442442442442	77.3264610605983
			28.3455455455455	46.1793991527525	28.3455455455455	77.3024926733475
			28.3468468468468	46.1454045947061	28.3468468468468	77.278524286097
			28.3481481481481	46.1114100366595	28.3481481481481	77.2545558988463
			28.3494494494495	46.0774154786129	28.3494494494495	77.2305875115957
			28.3507507507508	46.0434209205665	28.3507507507508	77.206619124345
			28.3520520520521	46.00942636252	28.3520520520521	77.1826507370944
			28.3533533533534	45.9754318044734	28.3533533533534	77.1586823498437
			28.3546546546547	45.9414372464269	28.3546546546547	77.1347139625931
			28.355955955956	45.9074426883805	28.355955955956	77.1107455753424
			28.3572572572573	45.8734481303338	28.3572572572573	77.0867771880918
			28.3585585585586	45.8394535722873	28.3585585585586	77.0628088008411
			28.3598598598599	45.8054590142408	28.3598598598599	77.0388404135905
			28.3611611611612	45.7714644561943	28.3611611611612	77.0148720263398
			28.3624624624625	45.7374698981478	28.3624624624625	76.9909036390892
			28.3637637637638	45.7034753401012	28.3637637637638	76.9669352518387
			28.3650650650651	45.6694807820547	28.3650650650651	76.9429668645879
			28.3663663663664	45.6354862240082	28.3663663663664	76.9189984773374
			28.3676676676677	45.6014916659617	28.3676676676677	76.8950300900867
			28.368968968969	45.5674971079151	28.368968968969	76.871061702836
			28.3702702702703	45.5335025498687	28.3702702702703	76.8470933155854
