Temperature	-Seebeck	-Seebeck	-Seebeck	-Seebeck	Independent Variable	Linear Fit of Vg=60 V	Independent Variable	Linear Fit of Vg=40 V	Independent Variable	Linear Fit of Vg=20 V	Independent Variable	Linear Fit of Vg=0 V
K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K
Temperature	Vg=60 V	Vg=40 V	Vg=20 V	Vg=0 V	Fit Curve of Vg=60 V	Fit Curve of Vg=60 V	Fit Curve of Vg=40 V	Fit Curve of Vg=40 V	Fit Curve of Vg=20 V	Fit Curve of Vg=20 V	Fit Curve of Vg=0 V	Fit Curve of Vg=0 V
300	1.26761064804713E-4	1.37097429631246E-4	1.47305249836352E-4	1.61960484398865E-4	280	8.91198133021245E-5	280	9.69739609888985E-5	280	1.05702410198428E-4	280	1.19032582746514E-4
330	1.49525681867772E-4	1.58326161902684E-4	1.70122976216452E-4	1.85057516910321E-4	280.34034034034	8.94741463784614E-5	280.34034034034	9.7339125797635E-5	280.34034034034	1.06082409540188E-4	280.34034034034	1.19427813940892E-4
360	1.69197241981235E-4	1.79953288239145E-4	1.91761160811695E-4	2.08279807986035E-4	280.680680680681	8.98284794547984E-5	280.680680680681	9.77042906063715E-5	280.680680680681	1.06462408881948E-4	280.680680680681	1.19823045135271E-4
390	1.9253637355444E-4	2.02798363517347E-4	2.16512939122845E-4	2.3481437922758E-4	281.021021021021	9.01828125311354E-5	281.021021021021	9.80694554151081E-5	281.021021021021	1.06842408223708E-4	281.021021021021	1.20218276329649E-4
420	2.25331835042549E-4	2.37425398210779E-4	2.52110800785512E-4	2.72713899192669E-4	281.361361361361	9.05371456074725E-5	281.361361361361	9.84346202238447E-5	281.361361361361	1.07222407565468E-4	281.361361361361	1.20613507524028E-4
450	2.55049094479599E-4	2.6807156884137E-4	2.83093170412394E-4	3.0440541130264E-4	281.701701701702	9.08914786838095E-5	281.701701701702	9.87997850325813E-5	281.701701701702	1.07602406907228E-4	281.701701701702	1.21008738718406E-4
480	2.86895387300895E-4	3.00199729434868E-4	3.15910582587825E-4	3.3716853589352E-4	282.042042042042	9.12458117601465E-5	282.042042042042	9.91649498413178E-5	282.042042042042	1.07982406248988E-4	282.042042042042	1.21403969912785E-4
510	3.30280235653502E-4	3.45043744272311E-4	3.63017006327733E-4	3.86501815404757E-4	282.382382382382	9.16001448364835E-5	282.382382382382	9.95301146500544E-5	282.382382382382	1.08362405590748E-4	282.382382382382	1.21799201107163E-4
540	3.61446607025966E-4	3.77296312459088E-4	3.98336809949815E-4	4.22831071350644E-4	282.722722722723	9.19544779128205E-5	282.722722722723	9.98952794587909E-5	282.722722722723	1.08742404932508E-4	282.722722722723	1.22194432301542E-4
570	3.9710284529784E-4	4.14298023128955E-4	4.37287030329479E-4	4.65335832424176E-4	283.063063063063	9.23088109891575E-5	283.063063063063	1.00260444267527E-4	283.063063063063	1.09122404274268E-4	283.063063063063	1.2258966349592E-4
600	4.33074667248527E-4	4.52601592843116E-4	4.75175169103207E-4	5.01887453632992E-4	283.403403403403	9.26631440654944E-5	283.403403403403	1.00625609076264E-4	283.403403403403	1.09502403616028E-4	283.403403403403	1.22984894690299E-4
--	--	--	--	--	283.743743743744	9.30174771418315E-5	283.743743743744	1.00990773885001E-4	283.743743743744	1.09882402957788E-4	283.743743743744	1.23380125884677E-4
--	--	--	--	--	284.084084084084	9.33718102181685E-5	284.084084084084	1.01355938693737E-4	284.084084084084	1.10262402299548E-4	284.084084084084	1.23775357079056E-4
--	--	--	--	--	284.424424424424	9.37261432945055E-5	284.424424424424	1.01721103502474E-4	284.424424424424	1.10642401641308E-4	284.424424424424	1.24170588273434E-4
--	--	--	--	--	284.764764764765	9.40804763708425E-5	284.764764764765	1.0208626831121E-4	284.764764764765	1.11022400983068E-4	284.764764764765	1.24565819467813E-4
--	--	--	--	--	285.105105105105	9.44348094471795E-5	285.105105105105	1.02451433119947E-4	285.105105105105	1.11402400324829E-4	285.105105105105	1.24961050662191E-4
--	--	--	--	--	285.445445445445	9.47891425235165E-5	285.445445445445	1.02816597928683E-4	285.445445445445	1.11782399666589E-4	285.445445445445	1.25356281856569E-4
--	--	--	--	--	285.785785785786	9.51434755998535E-5	285.785785785786	1.0318176273742E-4	285.785785785786	1.12162399008349E-4	285.785785785786	1.25751513050948E-4
--	--	--	--	--	286.126126126126	9.54978086761905E-5	286.126126126126	1.03546927546157E-4	286.126126126126	1.12542398350109E-4	286.126126126126	1.26146744245326E-4
--	--	--	--	--	286.466466466466	9.58521417525275E-5	286.466466466466	1.03912092354893E-4	286.466466466466	1.12922397691869E-4	286.466466466466	1.26541975439705E-4
--	--	--	--	--	286.806806806807	9.62064748288645E-5	286.806806806807	1.0427725716363E-4	286.806806806807	1.13302397033629E-4	286.806806806807	1.26937206634083E-4
--	--	--	--	--	287.147147147147	9.65608079052015E-5	287.147147147147	1.04642421972366E-4	287.147147147147	1.13682396375389E-4	287.147147147147	1.27332437828462E-4
--	--	--	--	--	287.487487487488	9.69151409815386E-5	287.487487487488	1.05007586781103E-4	287.487487487488	1.14062395717149E-4	287.487487487488	1.2772766902284E-4
--	--	--	--	--	287.827827827828	9.72694740578756E-5	287.827827827828	1.05372751589839E-4	287.827827827828	1.14442395058909E-4	287.827827827828	1.28122900217219E-4
--	--	--	--	--	288.168168168168	9.76238071342125E-5	288.168168168168	1.05737916398576E-4	288.168168168168	1.14822394400669E-4	288.168168168168	1.28518131411597E-4
--	--	--	--	--	288.508508508509	9.79781402105495E-5	288.508508508509	1.06103081207312E-4	288.508508508509	1.15202393742429E-4	288.508508508509	1.28913362605976E-4
--	--	--	--	--	288.848848848849	9.83324732868865E-5	288.848848848849	1.06468246016049E-4	288.848848848849	1.15582393084189E-4	288.848848848849	1.29308593800354E-4
--	--	--	--	--	289.189189189189	9.86868063632235E-5	289.189189189189	1.06833410824786E-4	289.189189189189	1.15962392425949E-4	289.189189189189	1.29703824994733E-4
--	--	--	--	--	289.52952952953	9.90411394395606E-5	289.52952952953	1.07198575633522E-4	289.52952952953	1.16342391767709E-4	289.52952952953	1.30099056189111E-4
--	--	--	--	--	289.86986986987	9.93954725158976E-5	289.86986986987	1.07563740442259E-4	289.86986986987	1.16722391109469E-4	289.86986986987	1.3049428738349E-4
					290.21021021021	9.97498055922346E-5	290.21021021021	1.07928905250995E-4	290.21021021021	1.17102390451229E-4	290.21021021021	1.30889518577868E-4
					290.550550550551	1.00104138668572E-4	290.550550550551	1.08294070059732E-4	290.550550550551	1.17482389792989E-4	290.550550550551	1.31284749772247E-4
					290.890890890891	1.00458471744909E-4	290.890890890891	1.08659234868468E-4	290.890890890891	1.17862389134749E-4	290.890890890891	1.31679980966625E-4
					291.231231231231	1.00812804821246E-4	291.231231231231	1.09024399677205E-4	291.231231231231	1.18242388476509E-4	291.231231231231	1.32075212161004E-4
					291.571571571572	1.01167137897583E-4	291.571571571572	1.09389564485941E-4	291.571571571572	1.1862238781827E-4	291.571571571572	1.32470443355382E-4
					291.911911911912	1.0152147097392E-4	291.911911911912	1.09754729294678E-4	291.911911911912	1.1900238716003E-4	291.911911911912	1.32865674549761E-4
					292.252252252252	1.01875804050257E-4	292.252252252252	1.10119894103415E-4	292.252252252252	1.1938238650179E-4	292.252252252252	1.33260905744139E-4
					292.592592592593	1.02230137126594E-4	292.592592592593	1.10485058912151E-4	292.592592592593	1.1976238584355E-4	292.592592592593	1.33656136938518E-4
					292.932932932933	1.02584470202931E-4	292.932932932933	1.10850223720888E-4	292.932932932933	1.2014238518531E-4	292.932932932933	1.34051368132896E-4
					293.273273273273	1.02938803279268E-4	293.273273273273	1.11215388529624E-4	293.273273273273	1.2052238452707E-4	293.273273273273	1.34446599327274E-4
					293.613613613614	1.03293136355605E-4	293.613613613614	1.11580553338361E-4	293.613613613614	1.2090238386883E-4	293.613613613614	1.34841830521653E-4
					293.953953953954	1.03647469431942E-4	293.953953953954	1.11945718147097E-4	293.953953953954	1.2128238321059E-4	293.953953953954	1.35237061716031E-4
					294.294294294294	1.04001802508279E-4	294.294294294294	1.12310882955834E-4	294.294294294294	1.2166238255235E-4	294.294294294294	1.3563229291041E-4
					294.634634634635	1.04356135584616E-4	294.634634634635	1.1267604776457E-4	294.634634634635	1.2204238189411E-4	294.634634634635	1.36027524104788E-4
					294.974974974975	1.04710468660953E-4	294.974974974975	1.13041212573307E-4	294.974974974975	1.2242238123587E-4	294.974974974975	1.36422755299167E-4
					295.315315315315	1.0506480173729E-4	295.315315315315	1.13406377382044E-4	295.315315315315	1.2280238057763E-4	295.315315315315	1.36817986493545E-4
					295.655655655656	1.05419134813627E-4	295.655655655656	1.1377154219078E-4	295.655655655656	1.2318237991939E-4	295.655655655656	1.37213217687924E-4
					295.995995995996	1.05773467889964E-4	295.995995995996	1.14136706999517E-4	295.995995995996	1.2356237926115E-4	295.995995995996	1.37608448882302E-4
					296.336336336336	1.06127800966301E-4	296.336336336336	1.14501871808253E-4	296.336336336336	1.2394237860291E-4	296.336336336336	1.38003680076681E-4
					296.676676676677	1.06482134042638E-4	296.676676676677	1.1486703661699E-4	296.676676676677	1.2432237794467E-4	296.676676676677	1.38398911271059E-4
					297.017017017017	1.06836467118975E-4	297.017017017017	1.15232201425726E-4	297.017017017017	1.2470237728643E-4	297.017017017017	1.38794142465438E-4
					297.357357357357	1.07190800195312E-4	297.357357357357	1.15597366234463E-4	297.357357357357	1.2508237662819E-4	297.357357357357	1.39189373659816E-4
					297.697697697698	1.07545133271649E-4	297.697697697698	1.159625310432E-4	297.697697697698	1.2546237596995E-4	297.697697697698	1.39584604854195E-4
					298.038038038038	1.07899466347986E-4	298.038038038038	1.16327695851936E-4	298.038038038038	1.25842375311711E-4	298.038038038038	1.39979836048573E-4
					298.378378378378	1.08253799424323E-4	298.378378378378	1.16692860660673E-4	298.378378378378	1.26222374653471E-4	298.378378378378	1.40375067242952E-4
					298.718718718719	1.0860813250066E-4	298.718718718719	1.17058025469409E-4	298.718718718719	1.26602373995231E-4	298.718718718719	1.4077029843733E-4
					299.059059059059	1.08962465576997E-4	299.059059059059	1.17423190278146E-4	299.059059059059	1.26982373336991E-4	299.059059059059	1.41165529631709E-4
					299.399399399399	1.09316798653334E-4	299.399399399399	1.17788355086882E-4	299.399399399399	1.27362372678751E-4	299.399399399399	1.41560760826087E-4
					299.73973973974	1.09671131729671E-4	299.73973973974	1.18153519895619E-4	299.73973973974	1.27742372020511E-4	299.73973973974	1.41955992020466E-4
					300.08008008008	1.10025464806008E-4	300.08008008008	1.18518684704355E-4	300.08008008008	1.28122371362271E-4	300.08008008008	1.42351223214844E-4
					300.42042042042	1.10379797882345E-4	300.42042042042	1.18883849513092E-4	300.42042042042	1.28502370704031E-4	300.42042042042	1.42746454409223E-4
					300.760760760761	1.10734130958682E-4	300.760760760761	1.19249014321829E-4	300.760760760761	1.28882370045791E-4	300.760760760761	1.43141685603601E-4
					301.101101101101	1.11088464035019E-4	301.101101101101	1.19614179130565E-4	301.101101101101	1.29262369387551E-4	301.101101101101	1.43536916797979E-4
					301.441441441441	1.11442797111356E-4	301.441441441441	1.19979343939302E-4	301.441441441441	1.29642368729311E-4	301.441441441441	1.43932147992358E-4
					301.781781781782	1.11797130187693E-4	301.781781781782	1.20344508748038E-4	301.781781781782	1.30022368071071E-4	301.781781781782	1.44327379186736E-4
					302.122122122122	1.1215146326403E-4	302.122122122122	1.20709673556775E-4	302.122122122122	1.30402367412831E-4	302.122122122122	1.44722610381115E-4
					302.462462462462	1.12505796340367E-4	302.462462462462	1.21074838365511E-4	302.462462462462	1.30782366754591E-4	302.462462462462	1.45117841575493E-4
					302.802802802803	1.12860129416704E-4	302.802802802803	1.21440003174248E-4	302.802802802803	1.31162366096351E-4	302.802802802803	1.45513072769872E-4
					303.143143143143	1.13214462493041E-4	303.143143143143	1.21805167982985E-4	303.143143143143	1.31542365438111E-4	303.143143143143	1.4590830396425E-4
					303.483483483484	1.13568795569378E-4	303.483483483484	1.22170332791721E-4	303.483483483484	1.31922364779871E-4	303.483483483484	1.46303535158629E-4
					303.823823823824	1.13923128645715E-4	303.823823823824	1.22535497600458E-4	303.823823823824	1.32302364121631E-4	303.823823823824	1.46698766353007E-4
					304.164164164164	1.14277461722052E-4	304.164164164164	1.22900662409194E-4	304.164164164164	1.32682363463391E-4	304.164164164164	1.47093997547386E-4
					304.504504504505	1.14631794798389E-4	304.504504504505	1.23265827217931E-4	304.504504504505	1.33062362805151E-4	304.504504504505	1.47489228741764E-4
					304.844844844845	1.14986127874726E-4	304.844844844845	1.23630992026667E-4	304.844844844845	1.33442362146911E-4	304.844844844845	1.47884459936143E-4
					305.185185185185	1.15340460951063E-4	305.185185185185	1.23996156835404E-4	305.185185185185	1.33822361488672E-4	305.185185185185	1.48279691130521E-4
					305.525525525526	1.156947940274E-4	305.525525525526	1.2436132164414E-4	305.525525525526	1.34202360830432E-4	305.525525525526	1.486749223249E-4
					305.865865865866	1.16049127103737E-4	305.865865865866	1.24726486452877E-4	305.865865865866	1.34582360172192E-4	305.865865865866	1.49070153519278E-4
					306.206206206206	1.16403460180074E-4	306.206206206206	1.25091651261614E-4	306.206206206206	1.34962359513952E-4	306.206206206206	1.49465384713657E-4
					306.546546546547	1.16757793256411E-4	306.546546546547	1.2545681607035E-4	306.546546546547	1.35342358855712E-4	306.546546546547	1.49860615908035E-4
