Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
60	1.26761064804713E-4	1.69197241981235E-4	2.25331835042549E-4	2.86895387300895E-4	3.61446607025966E-4	4.33074667248527E-4
59	1.27969613790094E-4	1.69615788784639E-4	2.26086100807331E-4	2.87214322496182E-4	3.6270608771547E-4	4.32966484835261E-4
58	1.27798603534803E-4	1.69807471088806E-4	2.2641640846607E-4	2.87680864062841E-4	3.62354353043858E-4	4.3361996508837E-4
57	1.27434776347371E-4	1.69954265764783E-4	2.26558149683613E-4	2.87778389701069E-4	3.62580274929086E-4	4.35906415012001E-4
56	1.29326218634082E-4	1.7086900283657E-4	2.27170674230853E-4	2.89055448396247E-4	3.65100589133755E-4	4.37540846607026E-4
55	1.31261274274493E-4	1.7079014619245E-4	2.28372943486799E-4	2.89815884791621E-4	3.65024830896793E-4	4.37594937813659E-4
54	1.30395893519529E-4	1.71559301767401E-4	2.29244905084006E-4	2.90331189177395E-4	3.65629543966834E-4	4.3843993017674E-4
53	1.30416552476544E-4	1.73320837879118E-4	2.29622037966398E-4	2.91190469125027E-4	3.66537289984726E-4	4.39229369408684E-4
52	1.31667567095789E-4	1.7328808204233E-4	2.30542090333842E-4	2.92467527820205E-4	3.67821121536112E-4	4.3999103207506E-4
51	1.320945188741E-4	1.7308426794676E-4	2.30518044948724E-4	2.91067903120227E-4	3.68778922103426E-4	4.39555378572987E-4
50	1.32126655029457E-4	1.73377857298713E-4	2.30943268601353E-4	2.92565053458433E-4	3.69988348243509E-4	4.4203334060659E-4
49	1.33184852716561E-4	1.74813048221689E-4	2.31767139428322E-4	2.93596980144011E-4	3.70291381191359E-4	4.43313986471743E-4
48	1.33494737071787E-4	1.75208544621427E-4	2.32380929522147E-4	2.94161047348898E-4	3.70896094261401E-4	4.4391337551822E-4
47	1.33377669648702E-4	1.75625878245691E-4	2.324277547458E-4	2.95094130482217E-4	3.72131224089025E-4	4.45110691686668E-4
46	1.34296993235872E-4	1.76462971852498E-4	2.32993454069387E-4	2.96885175649138E-4	3.7313907920576E-4	4.48053545712415E-4
45	1.35483735544403E-4	1.76191219725071E-4	2.34031202269256E-4	2.97254191577569E-4	3.74095526947414E-4	4.47018503163867E-4
44	1.34532275801877E-4	1.77264883264237E-4	2.33865415666594E-4	2.97302954396683E-4	3.74424263582806E-4	4.47671983416976E-4
43	1.35793619899629E-4	1.78371302640192E-4	2.35539733798822E-4	2.98358603534803E-4	3.75154789439232E-4	4.50204036657211E-4
42	1.36498319877809E-4	1.78496260091643E-4	2.3678882827842E-4	3.00077163430068E-4	3.75809557058695E-4	4.4985025092734E-4
41	1.38187763473707E-4	1.78868706087716E-4	2.36458520619681E-4	2.99610621863408E-4	3.76943224961815E-4	4.50695243290421E-4
40	1.37097429631246E-4	1.79953288239145E-4	2.37425398210779E-4	3.00199729434868E-4	3.77296312459088E-4	4.52601592843116E-4
