Vbg	dS/dVbg	dS/dVbg	dS/dVbg	dS/dVbg	dS/dVbg	dS/dVbg
V	1/K	1/K	1/K	1/K	1/K	1/K
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
60	1.20854898538075E-6	4.18546803403902E-7	7.54265764782875E-7	3.18935195286953E-7	1.25948068950468E-6	-1.08182413266424E-7
59	5.18769365044733E-7	3.05114553785746E-7	5.42286711760842E-7	3.92738380973164E-7	4.53873008946117E-7	2.72648919921406E-7
58	-2.67418721361541E-7	1.69238490072015E-7	2.36024438140966E-7	2.82033602443793E-7	-6.29063931922456E-8	1.46996508837001E-6
57	7.63807549639971E-7	5.30765873881726E-7	3.77132882391492E-7	6.87292166703051E-7	1.37311804494872E-6	1.96044075932798E-6
56	1.91324896356098E-6	4.17940213833743E-7	9.0739690159286E-7	1.01874754527604E-6	1.22227798385343E-6	8.44261400829185E-7
55	5.34837442723123E-7	3.45149465415695E-7	1.03711542657644E-6	6.37870390573852E-7	2.6447741653939E-7	4.49541784857072E-7
54	-4.22360898974473E-7	1.26534584333404E-6	6.24547239799224E-7	6.87292166703024E-7	7.56229543966819E-7	8.17215797512552E-7
53	6.35836788130022E-7	8.64390137464514E-7	6.48592624918185E-7	1.06816932140519E-6	1.09578878463887E-6	7.7555094915997E-7
52	8.38983198778097E-7	-1.18284966179344E-7	4.48003491163013E-7	-6.12830024001719E-8	1.12081605934978E-6	1.63004582151409E-7
51	2.29543966833966E-7	4.48876281911514E-8	2.00589133755199E-7	4.87628191141057E-8	1.08361335369848E-6	1.02115426576477E-6
50	5.45166921230624E-7	8.64390137464514E-7	6.24547239799279E-7	1.2645385118918E-6	7.56229543966819E-7	1.87930394937816E-6
49	6.84041021165179E-7	9.15343661357171E-7	7.18830460397107E-7	7.97996945232395E-7	4.5387300894609E-7	9.40017455814952E-7
48	9.64084660702737E-8	4.06415012000876E-7	3.30307658738795E-7	7.48575169103169E-7	9.1992144883265E-7	8.98352607462343E-7
47	4.01128082042326E-7	6.27213615535707E-7	3.06262273619903E-7	1.36206415011998E-6	1.12149247217977E-6	2.07008509709795E-6
46	1.05303294785075E-6	2.82670739690184E-7	8.01723761728143E-7	1.08003054767619E-6	9.82151429194852E-7	9.53905738599209E-7
45	1.17641283002394E-7	4.00955705869501E-7	4.35980798603526E-7	2.08889373772675E-7	6.42592188522799E-7	-1.90781147719842E-7
44	1.54942177612918E-7	1.09004145756053E-6	7.54265764782902E-7	5.52205978616695E-7	5.29631245908797E-7	1.59276674667244E-6
43	9.83022037966409E-7	6.15688413702827E-7	1.46170630591316E-6	1.38710451669209E-6	6.92646737944638E-7	1.08913375518221E-6
42	1.19707178703905E-6	2.48701723761741E-7	4.5939341042982E-7	6.26009164302825E-7	8.94217761291701E-7	2.45603316604881E-7
41	2.99554876718308E-7	7.2851407375081E-7	3.18284966179362E-7	6.1283002400199E-8	7.43377700196331E-7	1.37567095788785E-6
40	-8.03403883918835E-8	7.34579969452316E-7	1.16683395156011E-6	9.8184595243291E-7	1.04573423521714E-6	1.59276674667244E-6
39	6.78876281911395E-7	-4.48876281911379E-8	8.36526292821284E-7	9.57464542875844E-7	9.44948723543556E-7	8.84464324678167E-7
38	4.96962688195494E-7	1.8622299803623E-7	2.71459742526761E-7	5.6472616190268E-7	1.03355880427664E-6	8.03327514728404E-7
