Vbg	I	I	I	I	I	I
V	\g(m)A	\g(m)A	\g(m)A	\g(m)A	\g(m)A	\g(m)A
Vbg	T=300 K	T=360 K	T=420 K	T=480 K	T=540 K	T=600 K
60	1.225535E-5	1.153874E-5	1.342275E-5	1.329429E-5	1.129768E-5	1.030277E-5
59	1.21122E-5	1.136416E-5	1.322887E-5	1.314866E-5	1.115107E-5	1.016803E-5
58	1.183391E-5	1.115807E-5	1.302457E-5	1.300478E-5	1.10128E-5	1.003246E-5
57	1.160642E-5	1.099966E-5	1.285128E-5	1.287449E-5	1.087777E-5	9.901675E-6
56	1.136706E-5	1.081268E-5	1.266136E-5	1.270204E-5	1.075416E-5	9.780038E-6
55	1.116379E-5	1.063327E-5	1.252069E-5	1.254099E-5	1.065482E-5	9.657045E-6
54	1.093949E-5	1.045366E-5	1.234468E-5	1.23604E-5	1.049008E-5	9.527431E-6
53	1.071502E-5	1.026967E-5	1.212167E-5	1.21881E-5	1.035595E-5	9.399969E-6
52	1.052194E-5	1.010682E-5	1.195975E-5	1.211176E-5	1.024643E-5	9.272127E-6
51	1.028692E-5	9.915194E-6	1.178601E-5	1.195484E-5	1.010302E-5	9.158211E-6
50	1.009724E-5	9.756092E-6	1.166702E-5	1.179962E-5	9.978832E-6	9.027606E-6
49	9.906632E-6	9.558404E-6	1.145388E-5	1.167254E-5	9.800952E-6	8.918768E-6
48	9.717872E-6	9.413716E-6	1.125242E-5	1.153959E-5	9.716438E-6	8.808587E-6
47	9.441425E-6	9.239617E-6	1.115866E-5	1.13726E-5	9.570727E-6	8.677534E-6
46	9.282842E-6	9.053546E-6	1.099497E-5	1.119954E-5	9.454184E-6	8.551769E-6
45	9.06237E-6	8.890749E-6	1.079831E-5	1.108175E-5	9.320741E-6	8.438669E-6
44	8.843761E-6	8.688811E-6	1.067141E-5	1.091271E-5	9.183302E-6	8.312792E-6
43	8.615605E-6	8.528104E-6	1.054499E-5	1.077838E-5	9.054706E-6	8.210164E-6
42	8.47802E-6	8.369945E-6	1.03138E-5	1.063539E-5	8.925127E-6	8.093652E-6
41	8.23828E-6	8.188587E-6	1.014932E-5	1.04656E-5	8.784456E-6	7.97866E-6
40	8.043268E-6	8.043986E-6	9.993868E-6	1.032419E-5	8.668755E-6	7.852045E-6
39	7.853579E-6	7.868796E-6	9.847303E-6	1.017654E-5	8.531738E-6	7.752214E-6
38	7.635659E-6	7.708515E-6	9.661898E-6	1.004174E-5	8.418966E-6	7.620324E-6
37	7.466736E-6	7.502711E-6	9.459443E-6	9.888438E-6	8.301204E-6	7.514944E-6
36	7.238366E-6	7.35203E-6	9.304772E-6	9.761116E-6	8.162505E-6	7.405453E-6
35	7.054152E-6	7.166087E-6	9.128538E-6	9.629231E-6	8.039905E-6	7.291471E-6
34	6.869218E-6	7.035807E-6	8.992319E-6	9.445558E-6	7.934499E-6	7.181661E-6
33	6.689097E-6	6.835212E-6	8.823893E-6	9.319368E-6	7.807131E-6	7.068928E-6
32	6.477771E-6	6.6709E-6	8.666982E-6	9.153256E-6	7.688733E-6	6.953705E-6
31	6.312923E-6	6.503749E-6	8.543362E-6	9.022512E-6	7.559211E-6	6.841847E-6
30	6.127685E-6	6.327173E-6	8.331642E-6	8.850563E-6	7.438762E-6	6.739411E-6
29	5.929829E-6	6.154261E-6	8.174366E-6	8.685432E-6	7.317593E-6	6.638149E-6
28	5.745093E-6	5.998937E-6	8.023532E-6	8.575239E-6	7.200379E-6	6.52322E-6
27	5.56397E-6	5.804238E-6	7.864898E-6	8.432377E-6	7.094981E-6	6.405279E-6
26	5.391412E-6	5.650752E-6	7.695518E-6	8.288464E-6	6.965392E-6	6.293808E-6
25	5.200248E-6	5.492282E-6	7.519176E-6	8.139154E-6	6.832468E-6	6.190951E-6
24	5.003616E-6	5.32456E-6	7.358255E-6	8.012389E-6	6.704345E-6	6.097124E-6
23	4.817409E-6	5.157958E-6	7.157703E-6	7.879799E-6	6.572231E-6	5.985054E-6
22	4.647087E-6	4.998153E-6	7.070805E-6	7.735244E-6	6.465828E-6	5.87558E-6
21	4.462453E-6	4.814832E-6	6.863212E-6	7.56516E-6	6.328663E-6	5.772947E-6
20	4.278642E-6	4.667718E-6	6.699631E-6	7.423865E-6	6.207375E-6	5.672261E-6
19	4.103039E-6	4.492224E-6	6.500153E-6	7.298122E-6	6.090889E-6	5.569631E-6
18	3.949157E-6	4.351716E-6	6.357432E-6	7.17099E-6	5.978815E-6	5.46301E-6
17	3.780086E-6	4.193563E-6	6.223644E-6	7.034668E-6	5.862132E-6	5.362215E-6
16	3.576435E-6	4.025603E-6	6.068039E-6	6.885348E-6	5.737773E-6	5.262538E-6
15	3.40267E-6	3.874445E-6	5.927973E-6	6.708E-6	5.60428E-6	5.16392E-6
14	3.245257E-6	3.717824E-6	5.743878E-6	6.646858E-6	5.488952E-6	5.05222E-6
13	3.08197E-6	3.571685E-6	5.57402E-6	6.464729E-6	5.359386E-6	4.951215E-6
12	2.911123E-6	3.411176E-6	5.440579E-6	6.341691E-6	5.242565E-6	4.836348E-6
11	2.750883E-6	3.247254E-6	5.265581E-6	6.201841E-6	5.119582E-6	4.742494E-6
10	2.586499E-6	3.084432E-6	5.090717E-6	6.067863E-6	4.999875E-6	4.641554E-6
9	2.439192E-6	2.952441E-6	4.952264E-6	5.914433E-6	4.863692E-6	4.531441E-6
8	2.285033E-6	2.792197E-6	4.791435E-6	5.778251E-6	4.746734E-6	4.434713E-6
7	2.150643E-6	2.635401E-6	4.625982E-6	5.612925E-6	4.62185E-6	4.334298E-6
6	1.994219E-6	2.473608E-6	4.471487E-6	5.478727E-6	4.51178E-6	4.226385E-6
5	1.862011E-6	2.34721E-6	4.295094E-6	5.336132E-6	4.406248E-6	4.121191E-6
4	1.733778E-6	2.194416E-6	4.146578E-6	5.192428E-6	4.270198E-6	4.016906E-6
3	1.603114E-6	2.062015E-6	3.992815E-6	5.048935E-6	4.16332E-6	3.911446E-6
2	1.477934E-6	1.919227E-6	3.833289E-6	4.893252E-6	4.03723E-6	3.801927E-6
1	1.364986E-6	1.788489E-6	3.679061E-6	4.776018E-6	3.912049E-6	3.701413E-6
0	1.261473E-6	1.666941E-6	3.513819E-6	4.626549E-6	3.483937E-6	2.864763E-6
-1	1.144012E-6	1.52637E-6	3.360124E-6	4.47255E-6	3.128658E-6	2.546917E-6
-2	1.036964E-6	1.4129E-6	3.190096E-6	4.267667E-6	2.896918E-6	2.362932E-6
-3	9.49894E-7	1.293124E-6	3.012251E-6	4.080573E-6	2.707683E-6	2.207278E-6
-4	8.511399E-7	1.171868E-6	2.865783E-6	3.899741E-6	2.527712E-6	2.065623E-6
-5	7.616158E-7	1.052771E-6	2.705102E-6	3.710068E-6	2.363232E-6	1.925377E-6
-6	6.773989E-7	9.39013E-7	2.555778E-6	3.52349E-6	2.20576E-6	1.795286E-6
-7	6.056459E-7	8.253539E-7	2.404985E-6	3.343642E-6	2.058479E-6	1.668239E-6
-8	5.302095E-7	7.32787E-7	2.223583E-6	3.15998E-6	1.916114E-6	1.543273E-6
-9	4.599155E-7	6.334466E-7	2.060375E-6	2.98893E-6	1.77125E-6	1.419278E-6
-10	3.982713E-7	5.471223E-7	1.92231E-6	2.829039E-6	1.639474E-6	1.297229E-6
-11	3.486124E-7	4.687161E-7	1.769294E-6	2.660571E-6	1.504146E-6	1.176495E-6
-12	2.973563E-7	3.902931E-7	1.64093E-6	2.515584E-6	1.369475E-6	1.057241E-6
-13	2.511181E-7	3.361212E-7	1.504599E-6	2.360262E-6	1.247532E-6	9.424323E-7
-14	2.062618E-7	2.804359E-7	1.364746E-6	2.206084E-6	1.123764E-6	8.319009E-7
-15	1.672704E-7	2.286377E-7	1.237929E-6	2.057027E-6	1.004171E-6	7.227009E-7
-16	1.31791E-7	1.894102E-7	1.128659E-6	1.920686E-6	8.850597E-7	6.204006E-7
-17	1.044151E-7	1.559843E-7	1.016156E-6	1.791873E-6	7.707184E-7	5.222834E-7
-18	7.95453E-8	1.262835E-7	9.080797E-7	1.652269E-6	6.614383E-7	4.365248E-7
-19	5.843744E-8	1.016179E-7	8.210747E-7	1.522286E-6	5.575674E-7	3.542051E-7
-20	4.18235E-8	7.955539E-8	7.266529E-7	1.393063E-6	4.562365E-7	2.850697E-7
-21	2.856734E-8	6.088624E-8	6.362878E-7	1.271329E-6	3.633522E-7	2.263182E-7
-22	1.835391E-8	4.436883E-8	5.596336E-7	1.152289E-6	2.786722E-7	1.759594E-7
-23	1.160031E-8	3.210657E-8	4.848291E-7	1.025974E-6	2.06061E-7	1.364346E-7
-24	6.827614E-9	2.265092E-8	4.174559E-7	9.123212E-7	1.45882E-7	1.092961E-7
-25	3.753539E-9	1.584608E-8	3.585329E-7	8.012382E-7	9.942121E-8	8.399158E-8
-26	1.957768E-9	1.118278E-8	2.965295E-7	6.948973E-7	6.486122E-8	6.661929E-8
-27	9.70406E-10	7.47426E-9	2.456624E-7	5.987632E-7	4.110358E-8	5.312364E-8
-28	4.17093E-10	4.757719E-9	2.006956E-7	4.997473E-7	2.58525E-8	4.311065E-8
