Vbg	gm	gm	gm	gm	gm	gm
V	S	S	S	S	S	S
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
60	1.4315E-7	1.74579999999999E-7	1.93879999999999E-7	1.45629999999999E-7	1.4661E-7	1.34739999999998E-7
59	2.10719999999999E-7	1.90335E-7	1.9909E-7	1.44755E-7	1.42440000000001E-7	1.35155E-7
58	2.52890000000001E-7	1.82250000000001E-7	1.88795E-7	1.37085000000002E-7	1.36650000000001E-7	1.33177500000001E-7
57	2.33425E-7	1.72695000000001E-7	1.81605E-7	1.51370000000001E-7	1.29319999999999E-7	1.26211E-7
56	2.21314999999999E-7	1.83195000000001E-7	1.65295E-7	1.66749999999999E-7	1.11475E-7	1.22315000000001E-7
55	2.13785000000002E-7	1.7951E-7	1.5834E-7	1.7082E-7	1.3204E-7	1.263035E-7
54	2.24385E-7	1.81800000000001E-7	1.99509999999999E-7	1.76444999999999E-7	1.49434999999999E-7	1.28537999999999E-7
53	2.08774999999999E-7	1.7342E-7	1.92465E-7	1.24319999999999E-7	1.21825000000001E-7	1.27652E-7
52	2.14050000000001E-7	1.77238E-7	1.6783E-7	1.1663E-7	1.26465E-7	1.20879E-7
51	2.1235E-7	1.75364000000001E-7	1.46365E-7	1.56070000000001E-7	1.33798999999999E-7	1.222605E-7
50	1.90144E-7	1.78395E-7	1.66065E-7	1.41150000000001E-7	1.51034E-7	1.197215E-7
49	1.89684E-7	1.71188E-7	2.07300000000001E-7	1.30015000000001E-7	1.31197000000001E-7	1.09509499999999E-7
48	2.32603500000001E-7	1.59393499999999E-7	1.47609999999999E-7	1.49969999999999E-7	1.15112500000001E-7	1.20617000000002E-7
47	2.17515000000001E-7	1.80085000000001E-7	1.28724999999999E-7	1.70024999999999E-7	1.31127E-7	1.28409000000001E-7
46	1.895275E-7	1.74434E-7	1.80175E-7	1.45425E-7	1.24993000000001E-7	1.19432499999999E-7
45	2.19540499999999E-7	1.823675E-7	1.61780000000001E-7	1.43415E-7	1.35440999999999E-7	1.19488500000001E-7
44	2.233825E-7	1.813225E-7	1.26660000000001E-7	1.51685E-7	1.330175E-7	1.142525E-7
43	1.82870500000001E-7	1.59433E-7	1.78804999999999E-7	1.3866E-7	1.290875E-7	1.09569999999999E-7
42	1.88662499999999E-7	1.69758499999999E-7	1.97835E-7	1.56390000000001E-7	1.35125000000001E-7	1.15751999999999E-7
41	2.17375999999999E-7	1.629795E-7	1.59966E-7	1.556E-7	1.28186000000001E-7	1.20803500000001E-7
40	1.92350500000001E-7	1.59895500000001E-7	1.510085E-7	1.4453E-7	1.26358999999999E-7	1.13223000000001E-7
39	2.038045E-7	1.677355E-7	1.65985000000001E-7	1.41225000000001E-7	1.24894499999999E-7	1.15860499999999E-7
38	1.93421499999999E-7	1.83042499999999E-7	1.93930000000002E-7	1.44050999999999E-7	1.15267E-7	1.18634999999999E-7
37	1.98646500000001E-7	1.782425E-7	1.78562999999999E-7	1.40312E-7	1.28230500000001E-7	1.074355E-7
36	2.06292E-7	1.68312E-7	1.65452499999998E-7	1.29603500000001E-7	1.306495E-7	1.11736500000001E-7
35	1.84573999999999E-7	1.581115E-7	1.562265E-7	1.57779E-7	1.14003E-7	1.11896E-7
34	1.825275E-7	1.654375E-7	1.52322500000001E-7	1.54931499999999E-7	1.16387E-7	1.112715E-7
33	1.957235E-7	1.82453499999999E-7	1.62668500000001E-7	1.46151E-7	1.22882999999999E-7	1.13977999999999E-7
32	1.88087000000001E-7	1.65731499999999E-7	1.40265499999999E-7	1.48428000000001E-7	1.2396E-7	1.135405E-7
31	1.75043E-7	1.71863500000001E-7	1.6767E-7	1.513465E-7	1.249855E-7	1.07147E-7
30	1.91547E-7	1.74744E-7	1.84498E-7	1.6854E-7	1.20809E-7	1.01849E-7
29	1.91296E-7	1.64117999999999E-7	1.54055E-7	1.37662E-7	1.191915E-7	1.080955E-7
28	1.82929499999999E-7	1.750115E-7	1.54734000000001E-7	1.265275E-7	1.11306E-7	1.16435000000001E-7
27	1.76840500000001E-7	1.740925E-7	1.64006999999999E-7	1.43387500000001E-7	1.17493499999999E-7	1.14706E-7
26	1.81861E-7	1.55978000000001E-7	1.72861E-7	1.466115E-7	1.312565E-7	1.07163999999999E-7
25	1.93898E-7	1.63096E-7	1.68631500000001E-7	1.38037499999999E-7	1.305235E-7	9.83419999999999E-8
24	1.914195E-7	1.67161999999999E-7	1.807365E-7	1.29677500000001E-7	1.301185E-7	1.029485E-7
23	1.782645E-7	1.632035E-7	1.43725E-7	1.385725E-7	1.19258500000001E-7	1.10772E-7
22	1.77477999999999E-7	1.71563000000001E-7	1.472455E-7	1.57319499999998E-7	1.21784000000001E-7	1.060535E-7
21	1.842225E-7	1.652175E-7	1.85587E-7	1.55689499999999E-7	1.292265E-7	1.016595E-7
20	1.79707000000001E-7	1.61304E-7	1.81529499999999E-7	1.33519000000001E-7	1.18887E-7	1.01658E-7
19	1.64742499999999E-7	1.58001000000001E-7	1.710995E-7	1.264375E-7	1.1428E-7	1.046255E-7
18	1.614765E-7	1.493305E-7	1.38254500000001E-7	1.31727E-7	1.14378499999999E-7	1.03708000000001E-7
